x,category
0,432,915
1,1515
2,1112,606
3,423,1
4,1515
5,1515
6,1112,710
7,1112,710
8,1515
9,423,938
10,1112,606
11,1515
12,1515
13,423,815
14,1515
15,1515
16,1112,606
17,1515
18,423,815
19,423,993
20,1515
21,1515
22,1515
23,1515
24,423,815
25,1515
26,1515
27,1112,606
28,1515
29,1515
30,1515
31,1515
32,1112,710
33,423,993
34,1515
35,1112,606
36,1515
37,1112,606
38,1515
39,423,1
40,1515
41,1515
42,1515
43,423,993
44,423,815
45,1515
46,1515
47,1515
48,1515
49,1515
50,1515
51,423,815
52,1515
53,1515
54,1515
55,1515
56,1112,606
57,1515
58,1515
59,1515
60,1112,606
61,1515
62,423,815
63,1515
64,1112,606
65,1112,606
66,423,938
67,1515
68,423,993
69,1515
70,1515
71,730,938
72,1112,606
73,1112,606
74,1515
75,1515
76,1515
77,1515
78,1515
79,423,938
80,1112
81,1112,606
82,1515
83,423,606
84,1515
85,1112,606
86,423,993
87,1515
88,423,1
89,1515
90,1515
91,1515
92,423,842
93,1515
94,1515
95,1515
96,1515
97,1515
98,423,1
99,1112,606
100,1515
101,423,938
102,1515
103,423,815
104,1515
105,423,1
106,1515
107,1515
108,423,1194
109,1515
110,1515
111,1515
112,1515
113,1515
114,1112,606
115,423,815
116,1112,218
117,730,938
118,1515
119,423,993
120,1515
121,1515
122,423,815
123,1515
124,423,938
125,1515
126,1515
127,1112,606
128,1515
129,423,1
130,1515
131,1515
132,423,938
133,423,842
134,1515
135,1515
136,1515
137,1008,129
138,1515
139,730,993
140,1515
141,1515
142,423,1
143,1112,1232
144,1515
145,1515
146,1515
147,1515
148,1515
149,1515
150,1515
151,1112,606
152,1112,606
153,1231,37
154,730,842
155,1515
156,423,938
157,1515
158,1515
159,1515
160,730,1
161,1515
162,1112,606
163,1515
164,423,938
165,423,815
166,1112,606
167,1515
168,1515
169,1112,606
170,1112,606
171,1112,606
172,1515
173,1515
174,1515
175,1515
176,1515
177,730,993
178,1112,606
179,1515
180,423,1
181,1112,606
182,730,993
183,1515
184,1515
185,423,993
186,730,993
187,1515
188,999,915
189,423,938
190,423,1
191,1515
192,1112,606
193,1515
194,1515
195,423,1
196,730,815
197,1515
198,1515
199,1515
200,1515
201,1515
202,1112,606
203,1515
204,1112,606
205,1515
206,1515
207,1515
208,1515
209,423,1
210,1515
211,1515
212,1515
213,1515
214,1515
215,1515
216,1112,606
217,1112,606
218,423,606
219,1515
220,1515
221,1112,606
222,1112,266
223,1515
224,1515
225,1515
226,1515
227,1515
228,423,1
229,1515
230,1112,606
231,1515
232,423,815
233,1515
234,1515
235,423,815
236,1112,710
237,1515
238,1515
239,423,938
240,1112,606
241,1515
242,1515
243,1515
244,1515
245,1112,606
246,1112,606
247,423,993
248,1515
249,1112,606
250,1112,606
251,1112,218
252,1515
253,1112,606
254,423,993
255,1515
256,1112,606
257,423,815
258,1112,606
259,423,815
260,1515
261,1515
262,1515
263,1112,606
264,1112,606
265,423,993
266,1112,606
267,1112,606
268,1515
269,1515
270,1515
271,1515
272,423,993
273,1515
274,1515
275,1515
276,1515
277,1515
278,1515
279,423,815
280,1515
281,1515
282,1515
283,1515
284,1515
285,1294,423
286,1515
287,1112,606
288,1515
289,1112,606
290,1112,606
291,1515
292,1515
293,1112,606
294,1515
295,1515
296,1515
297,1112,606
298,423,993
299,1515
300,1515
301,1112,218
302,1112,606
303,1515
304,1515
305,1515
306,1515
307,1515
308,1515
309,1515
310,1515
311,1515
312,1515
313,1515
314,730,938
315,1112,606
316,730,815
317,730,1
318,432,915
319,423,1
320,423,993
321,730,815
322,1515
323,1515
324,1515
325,423,938
326,1515
327,730,1
328,730,1
329,1112,606
330,1515
331,1515
332,423,938
333,1515
334,1515
335,1112,606
336,423,606
337,423,1
338,1515
339,1515
340,1112,606
341,1112,1158
342,1515
343,1112,606
344,1515
345,423,1
346,1112,606
347,1112,606
348,1515
349,423,815
350,1515
351,730,815
352,1515
353,1515
354,1515
355,1515
356,1515
357,1112,606
358,1112,606
359,1112,606
360,1515
361,1112,606
362,1515
363,730,993
364,1515
365,1515
366,1515
367,423,993
368,1112,606
369,423,1
370,1515
371,1515
372,1515
373,1515
374,1515
375,1112,606
376,1515
377,1515
378,608,597
379,1515
380,1515
381,1515
382,423,993
383,1515
384,423,815
385,1112,606
386,423,938
387,1209,423
388,1515
389,423,606
390,1515
391,1112,606
392,423
393,423,815
394,1515
395,1515
396,423,993
397,1515
398,1515
399,1515
400,423,993
401,1112,606
402,423,1
403,1515
404,423,815
405,423,1
406,423,993
407,1515
408,1515
409,423,1
410,730,993
411,1112,606
412,423,1
413,985,423
414,1515
415,423,1
416,1112,606
417,1515
418,1112,606
419,730,815
420,1112,606
421,1515
422,423,815
423,1515
424,1515
425,1515
426,1515
427,1112,606
428,1515
429,1515
430,1515
431,423,815
432,423,815
433,1112,606
434,423,1
435,1515
436,423,938
437,1515
438,1112,606
439,1515
440,730,815
441,730,1
442,1515
443,1515
444,1112,606
445,1467,730
446,1515
447,1515
448,1515
449,1112,606
450,423,938
451,1515
452,1515
453,1515
454,1515
455,1112,218
456,1112,606
457,1515
458,1515
459,730,1
460,1471,1319
461,1515
462,1515
463,1515
464,1515
465,1515
466,730,938
467,1112,606
468,730,1
469,423,993
470,1515
471,1112,606
472,1515
473,1112,218
474,730,1
475,1515
476,1515
477,1515
478,423,815
479,1515
480,1515
481,730,993
482,1112,606
483,730,1
484,1515
485,423,993
486,423,938
487,1515
488,1515
489,1112,606
490,1515
491,1515
492,1515
493,423,1
494,1515
495,1515
496,1112,710
497,1515
498,1112,606
499,730,938
500,423,815
501,423,815
502,1515
503,1515
504,424,529
505,1112,606
506,1515
507,423,938
508,1515
509,423,938
510,1515
511,1515
512,1008,129
513,1515
514,423,1
515,1515
516,1515
517,423,842
518,1112,606
519,1112,218
520,1515
521,423,938
522,1515
523,1112,1431
524,1515
525,1515
526,1515
527,1515
528,1515
529,423,1
530,423,815
531,1515
532,1112,606
533,1515
534,423,815
535,1515
536,1515
537,1515
538,1515
539,1112,606
540,1515
541,1515
542,1515
543,730,1
544,1515
545,1112,606
546,1112,606
547,730,938
548,1515
549,1515
550,1515
551,1515
552,1515
553,1515
554,1515
555,1112,606
556,1112,606
557,423,993
558,1515
559,730,815
560,423,1
561,1515
562,423,815
563,1112,606
564,1112,606
565,1112,606
566,1112,1431
567,1515
568,1515
569,423,1
570,1112,606
571,1112,606
572,1112,606
573,1515
574,1515
575,423,938
576,1515
577,1112,606
578,1515
579,1515
580,1112,606
581,1112,606
582,1515
583,730,815
584,1112,606
585,730,993
586,1515
587,1515
588,423,815
589,1515
590,1515
591,730,1
592,1515
593,1515
594,1515
595,999,915
596,1515
597,1515
598,423,1
599,1515
600,1112,606
601,730,1
602,1515
603,1515
604,1515
605,1515
606,1515
607,1515
608,1112,606
609,1112,606
610,1112,606
611,1515
612,423,815
613,423,1
614,1515
615,1515
616,1515
617,1060,625
618,1515
619,1515
620,423,1194
621,423,815
622,1515
623,1112,606
624,423,815
625,1515
626,1515
627,1515
628,423,815
629,730,938
630,1515
631,1515
632,1515
633,1112,606
634,1515
635,1209,1112
636,1515
637,1515
638,1112,606
639,1515
640,730,1
641,1515
642,1112,606
643,1515
644,423,1140
645,1112,218
646,1515
647,1515
648,423,938
649,1515
650,423,815
651,730,1
652,1112,710
653,423,938
654,1515
655,730,993
656,1515
657,423,1
658,1515
659,1112,606
660,1515
661,1515
662,1112,606
663,1515
664,1515
665,1515
666,1515
667,1515
668,423,1
669,1515
670,423,1
671,1515
672,1515
673,1112,606
674,1112,606
675,1515
676,1467,730
677,1515
678,1515
679,423,815
680,1515
681,730,1
682,730,815
683,730,1
684,1515
685,1515
686,1515
687,423,1
688,1515
689,423,815
690,1515
691,1515
692,423,1
693,1515
694,1515
695,1112,606
696,1515
697,1112,606
698,1515
699,1515
700,1515
701,1112,606
702,1112,606
703,730,993
704,1112,606
705,423,815
706,1515
707,1515
708,730,815
709,1515
710,1515
711,1515
712,1515
713,1515
714,1112,606
715,1515
716,423,1
717,1515
718,1515
719,1515
720,1515
721,1112,218
722,1515
723,1515
724,1515
725,730,993
726,423,842
727,1515
728,1112,606
729,1515
730,1209,1112
731,1112,606
732,1112,502
733,1515
734,1515
735,1515
736,423,815
737,1112,606
738,1515
739,1515
740,1515
741,1112,606
742,1112,606
743,1515
744,1515
745,423,993
746,1112,606
747,1515
748,1112,606
749,1515
750,423,815
751,1515
752,1515
753,1112,606
754,1112,710
755,1209,1112
756,1515
757,1515
758,1515
759,1112,606
760,730,938
761,1515
762,423,938
763,1515
764,1515
765,1112,606
766,1515
767,1112,266
768,1515
769,1515
770,423,815
771,1515
772,1515
773,1112,606
774,1515
775,1112,606
776,1515
777,1515
778,423,815
779,1515
780,423,815
781,730,815
782,1515
783,423,1
784,1515
785,423,1
786,1515
787,1515
788,730,993
789,1515
790,1515
791,730,1
792,423,938
793,1515
794,423,815
795,1515
796,1112,606
797,1515
798,1112,606
799,1515
800,423,1
801,1112,606
802,1515
803,1515
804,1515
805,1515
806,1515
807,1112,606
808,1515
809,423,815
810,1515
811,1515
812,1515
813,1515
814,1112,606
815,423,1194
816,1515
817,1515
818,730,1
819,1112,606
820,423,1
821,1515
822,47,1013
823,1515
824,1515
825,730,1
826,1515
827,1515
828,423,1
829,1515
830,1112,606
831,1515
832,1515
833,1515
834,1515
835,1515
836,423,815
837,1515
838,423,815
839,423,815
840,1515
841,423,815
842,1515
843,1515
844,423,1
845,423,815
846,1515
847,1515
848,1515
849,1515
850,423,815
851,1515
852,730,938
853,1515
854,1515
855,1515
856,1515
857,1515
858,1112,606
859,1515
860,423,1
861,1112,606
862,1515
863,1515
864,1515
865,999,915
866,423,1
867,730,815
868,1515
869,184,1112
870,423,938
871,1112,606
872,1515
873,1112,606
874,1515
875,1515
876,1515
877,1209,423
878,730
879,1467,730
880,423,1
881,1515
882,1209,423
883,730
884,1515
885,423,1
886,1515
887,1209,1112
888,1515
889,1515
890,1515
891,1515
892,1515
893,1112,606
894,1515
895,1515
896,1515
897,1515
898,1515
899,1112,606
900,423,815
901,1515
902,1515
903,1515
904,1515
905,1515
906,423,1
907,730,993
908,1515
909,1112,606
910,1515
911,423,1
912,1515
913,1231,37
914,1515
915,730,815
916,1515
917,730,815
918,1112,606
919,1515
920,1515
921,1112,218
922,1515
923,1515
924,1515
925,730,109
926,423,815
927,1515
928,1515
929,1515
930,423,606
931,423,815
932,1515
933,1515
934,1515
935,423,1
936,1515
937,1515
938,423,1
939,1515
940,423,1
941,1515
942,1515
943,1515
944,1515
945,1515
946,730,815
947,1112,606
948,1112,606
949,730,938
950,730,1
951,1515
952,1515
953,423,815
954,1515
955,1515
956,1515
957,1515
958,1515
959,1515
960,1112,606
961,1515
962,1515
963,1515
964,1515
965,1112,606
966,432,915
967,1515
968,1209,1112
969,1515
970,1515
971,1515
972,1515
973,730,1
974,423,938
975,1112,606
976,1231,37
977,1515
978,423,815
979,1112,606
980,1112,606
981,1515
982,1515
983,184,730
984,1515
985,1515
986,1515
987,1515
988,1515
989,423,815
990,423,1
991,1515
992,1515
993,1515
994,423,815
995,1515
996,423,606
997,1515
998,730,938
999,423,993
1000,1515
1001,1515
1002,1515
1003,1515
1004,423,815
1005,1515
1006,1515
1007,1515
1008,1112,606
1009,423,938
1010,47,1013
1011,1515
1012,1515
1013,1515
1014,423,815
1015,1112,606
1016,423,993
1017,1112,606
1018,1515
1019,1112,606
1020,1515
1021,1515
1022,423,1
1023,1112,606
1024,1515
1025,1515
1026,1515
1027,730,993
1028,1515
1029,1112,606
1030,1515
1031,1515
1032,730,1
1033,1112,606
1034,1515
1035,1515
1036,730,993
1037,1515
1038,1112,218
1039,1112,606
1040,1515
1041,1112,606
1042,423,1
1043,1112,606
1044,423,938
1045,1515
1046,1209,423
1047,1515
1048,1515
1049,1515
1050,1112,606
1051,1515
1052,730,1
1053,1112,606
1054,1515
1055,423,815
1056,1112,606
1057,1515
1058,1515
1059,1515
1060,1515
1061,1028,215
1062,1515
1063,1515
1064,1515
1065,1112,606
1066,1112,606
1067,1515
1068,423,1
1069,1515
1070,1112,606
1071,1515
1072,1112,606
1073,1515
1074,423,1
1075,423,1
1076,1112,606
1077,1515
1078,1112,606
1079,1515
1080,1515
1081,423,993
1082,1515
1083,1515
1084,1515
1085,1515
1086,1515
1087,1112,502
1088,1515
1089,1515
1090,1515
1091,1515
1092,1515
1093,1112,606
1094,1515
1095,1515
1096,1112,606
1097,730,815
1098,1112,606
1099,1515
1100,1515
1101,1112,606
1102,1515
1103,1515
1104,1515
1105,423,1
1106,1112,606
1107,1515
1108,1515
1109,730,993
1110,1515
1111,1515
1112,1112,606
1113,730,815
1114,1515
1115,423,815
1116,730,1
1117,1112,606
1118,423,993
1119,1515
1120,1112,606
1121,1515
1122,1112,606
1123,423,993
1124,1515
1125,1515
1126,1294,423
1127,1515
1128,1515
1129,423,1
1130,1294,423
1131,1515
1132,423,842
1133,1515
1134,1515
1135,1515
1136,1515
1137,1515
1138,1515
1139,1112,606
1140,1515
1141,1515
1142,1112,606
1143,1112,606
1144,1515
1145,1515
1146,1515
1147,1515
1148,1515
1149,1515
1150,1515
1151,423,842
1152,1515
1153,423,1
1154,1515
1155,1515
1156,1515
1157,1515
1158,1515
1159,1515
1160,1515
1161,1112,606
1162,1515
1163,1515
1164,1515
1165,1112,606
1166,1515
1167,1515
1168,423,815
1169,1515
1170,423,993
1171,423,1
1172,1515
1173,1515
1174,1112,218
1175,423,1
1176,1515
1177,1515
1178,1515
1179,1515
1180,1515
1181,1515
1182,1515
1183,1112,606
1184,1515
1185,1515
1186,1112,606
1187,1112,606
1188,423,1
1189,423,1
1190,1515
1191,1515
1192,1515
1193,1112,606
1194,730,815
1195,1515
1196,1515
1197,423,1
1198,730,993
1199,1515
1200,1112,606
1201,1515
1202,1112,606
1203,1008,129
1204,1515
1205,423,1
1206,1515
1207,1112,606
1208,1515
1209,1515
1210,730,815
1211,423,993
1212,423,1
1213,423,1
1214,1515
1215,1515
1216,1112,606
1217,1112,606
1218,1112,606
1219,1112,606
1220,1112,1158
1221,1112,606
1222,423,815
1223,1515
1224,1112,606
1225,1515
1226,423,1
1227,730,842
1228,1209,1060
1229,1515
1230,730,993
1231,1515
1232,1515
1233,1515
1234,423,938
1235,1515
1236,1515
1237,1515
1238,1515
1239,1515
1240,423,993
1241,1515
1242,1515
1243,423,842
1244,1515
1245,423,1
1246,1515
1247,423,993
1248,1515
1249,423,993
1250,1515
1251,1112,606
1252,423,815
1253,1112,606
1254,1515
1255,1112,606
1256,1515
1257,1112,606
1258,1515
1259,1515
1260,423,1
1261,730,938
1262,1515
1263,1112,266
1264,1515
1265,423,842
1266,1515
1267,423,606
1268,423,815
1269,1515
1270,1515
1271,1515
1272,1515
1273,1515
1274,1515
1275,1515
1276,1515
1277,1112,606
1278,1112,606
1279,1112,606
1280,1515
1281,1112,606
1282,1515
1283,1515
1284,1515
1285,1515
1286,1515
1287,1515
1288,1515
1289,423,938
1290,1112,606
1291,1112,606
1292,1515
1293,1112,606
1294,1112,606
1295,1515
1296,1515
1297,1515
1298,1112,606
1299,1515
1300,1515
1301,423,938
1302,1515
1303,1515
1304,1515
1305,1515
1306,1515
1307,423,1
1308,1515
1309,1515
1310,1515
1311,1515
1312,730,993
1313,1112,606
1314,184,730
1315,1008,129
1316,1515
1317,1515
1318,1515
1319,1515
1320,1515
1321,1515
1322,1515
1323,1515
1324,1515
1325,1515
1326,1515
1327,1515
1328,730,1
1329,1515
1330,1112,606
1331,1515
1332,1515
1333,1515
1334,1112,606
1335,1515
1336,1515
1337,1515
1338,1515
1339,1515
1340,1515
1341,1515
1342,1515
1343,423,815
1344,423,993
1345,423,938
1346,1515
1347,1515
1348,1515
1349,1515
1350,1112,606
1351,1515
1352,1515
1353,1515
1354,1112,606
1355,1515
1356,1515
1357,1515
1358,1515
1359,1515
1360,1515
1361,1112,606
1362,423,938
1363,1515
1364,1112,218
1365,1515
1366,1112,606
1367,1515
1368,1515
1369,1515
1370,1515
1371,423,938
1372,1112,606
1373,1515
1374,1515
1375,1515
1376,1112,606
1377,730,993
1378,1515
1379,730,815
1380,1515
1381,1515
1382,423,938
1383,1515
1384,1515
1385,1515
1386,423,993
1387,1515
1388,423,1
1389,1515
1390,1515
1391,423,1
1392,1515
1393,423,1
1394,423,938
1395,423,938
1396,1515
1397,47,1013
1398,1515
1399,1515
1400,1112,606
1401,1112,606
1402,1515
1403,730,842
1404,1112,606
1405,1515
1406,1515
1407,1515
1408,730,815
1409,1515
1410,1515
1411,1515
1412,1515
1413,1515
1414,423,1
1415,1515
1416,1515
1417,1112,1431
1418,1515
1419,1515
1420,1112,218
1421,1515
1422,423,815
1423,1515
1424,1515
1425,1515
1426,1515
1427,1515
1428,1515
1429,1515
1430,1515
1431,1515
1432,1112,606
1433,1515
1434,1515
1435,1515
1436,1515
1437,1515
1438,423,938
1439,730,938
1440,1515
1441,1515
1442,1515
1443,1515
1444,423,938
1445,1515
1446,1515
1447,423,1
1448,423,606
1449,1112,606
1450,1515
1451,1515
1452,1112,606
1453,730,1
1454,1515
1455,1515
1456,1515
1457,423,1
1458,1515
1459,1515
1460,1515
1461,1515
1462,423,938
1463,1112,606
1464,1515
1465,730,993
1466,1515
1467,1515
1468,1112,606
1469,1515
1470,1112
1471,1112,218
1472,1515
1473,730,993
1474,1515
1475,1515
1476,1112,606
1477,1515
1478,1112,116
1479,1515
1480,1515
1481,1112,606
1482,730,815
1483,1515
1484,1515
1485,423,606
1486,1515
1487,1515
1488,1515
1489,423,815
1490,1515
1491,730,815
1492,1515
1493,1515
1494,1515
1495,1515
1496,423,938
1497,1112,606
1498,730,815
1499,1515
1500,1515
1501,1515
1502,1112,606
1503,1515
1504,1515
1505,1515
1506,1515
1507,423,842
1508,423,815
1509,1515
1510,423,1140
1511,1515
1512,1515
1513,1515
1514,423,938
1515,1112,606
1516,1515
1517,1515
1518,1515
1519,1112,606
1520,1515
1521,423,815
1522,1515
1523,1515
1524,423,815
1525,1112,606
1526,730,815
1527,1515
1528,1515
1529,1515
1530,1112,606
1531,423,938
1532,423,815
1533,1515
1534,1515
1535,1112,606
1536,423,1
1537,1112,606
1538,1515
1539,1515
1540,730,993
1541,1515
1542,1515
1543,1112,606
1544,1515
1545,1515
1546,1515
1547,1112,606
1548,1515
1549,1515
1550,1515
1551,1515
1552,1515
1553,1112,606
1554,1112,606
1555,1515
1556,1515
1557,1515
1558,730,109
1559,1209,1060
1560,423,815
1561,423,815
1562,1112,1431
1563,1112,266
1564,1515
1565,1515
1566,1515
1567,1515
1568,423,938
1569,1515
1570,1515
1571,1515
1572,730,815
1573,730,993
1574,1112,606
1575,1112,218
1576,1515
1577,423,938
1578,1515
1579,1515
1580,1060,625
1581,1112,606
1582,1515
1583,423,606
1584,1112,606
1585,1112,606
1586,1515
1587,1209,423
1588,1515
1589,423,1
1590,1515
1591,1515
1592,1112,606
1593,1515
1594,1515
1595,1515
1596,730,842
1597,423,938
1598,1112,606
1599,1112,606
1600,1515
1601,1112,606
1602,1112,606
1603,423,842
1604,423,606
1605,1515
1606,1515
1607,730,815
1608,1515
1609,1515
1610,1515
1611,423,815
1612,1515
1613,1515
1614,423,815
1615,1515
1616,1515
1617,1515
1618,1515
1619,1515
1620,1515
1621,1515
1622,1515
1623,1515
1624,1515
1625,1515
1626,423,815
1627,1515
1628,423,815
1629,1515
1630,423,606
1631,1515
1632,1515
1633,1294,423
1634,423,815
1635,1515
1636,1515
1637,1515
1638,1112,606
1639,1515
1640,1515
1641,1112,606
1642,1515
1643,1112,606
1644,1515
1645,1515
1646,1515
1647,1112,606
1648,1515
1649,1515
1650,1112,606
1651,423,938
1652,1515
1653,1112,606
1654,1515
1655,1112,606
1656,730,815
1657,1515
1658,1515
1659,1515
1660,1112,606
1661,1112,606
1662,1515
1663,1112,502
1664,1515
1665,1515
1666,1515
1667,423,1
1668,1112,606
1669,1112,606
1670,1515
1671,1515
1672,1515
1673,423,1
1674,1515
1675,1112,606
1676,1515
1677,1515
1678,730,815
1679,1112,731
1680,1112,606
1681,423,938
1682,1294,423
1683,1515
1684,423,993
1685,1515
1686,1515
1687,1515
1688,423,938
1689,1515
1690,1515
1691,1515
1692,730,938
1693,1112,606
1694,1112,606
1695,1112,606
1696,1515
1697,423,815
1698,1515
1699,1112,606
1700,1515
1701,423,815
1702,1112,606
1703,423,938
1704,730,938
1705,1515
1706,1112,606
1707,1515
1708,1515
1709,1515
1710,1515
1711,1515
1712,1515
1713,1515
1714,730,815
1715,730,1
1716,1112,606
1717,1515
1718,1515
1719,1515
1720,423,938
1721,1515
1722,1112,606
1723,1515
1724,1515
1725,1515
1726,1515
1727,1515
1728,1515
1729,1515
1730,1515
1731,1515
1732,1112,606
1733,423,1140
1734,1515
1735,1515
1736,1515
1737,1515
1738,1515
1739,1209,423
1740,1515
1741,1515
1742,1515
1743,1515
1744,1112,502
1745,1515
1746,1515
1747,423,1
1748,1515
1749,1515
1750,1515
1751,1112,606
1752,1515
1753,1515
1754,1515
1755,423,938
1756,1112,606
1757,423,815
1758,730,815
1759,1515
1760,1515
1761,1515
1762,1112,606
1763,1515
1764,1515
1765,1515
1766,1515
1767,1471
1768,1112,266
1769,1515
1770,1112,606
1771,1515
1772,1515
1773,1515
1774,1515
1775,1515
1776,1515
1777,1112,606
1778,1515
1779,1112,606
1780,1515
1781,1515
1782,1515
1783,1515
1784,1515
1785,730,993
1786,423,842
1787,1515
1788,1515
1789,1515
1790,1515
1791,423,815
1792,1515
1793,1112,606
1794,1112,1431
1795,423,1
1796,423,1
1797,1515
1798,1209,423
1799,1515
1800,1515
1801,423,1
1802,1515
1803,1112,606
1804,1112,606
1805,1515
1806,1515
1807,1515
1808,1515
1809,184,1319
1810,1515
1811,1515
1812,1515
1813,1112,606
1814,730,109
1815,1515
1816,1515
1817,1515
1818,1515
1819,1515
1820,1515
1821,1515
1822,423,1
1823,1515
1824,1515
1825,1112,606
1826,608,597
1827,1515
1828,730,1
1829,1515
1830,1112,606
1831,423,842
1832,1515
1833,1515
1834,730,815
1835,1515
1836,423,1
1837,1515
1838,1515
1839,1515
1840,1515
1841,1515
1842,1515
1843,1515
1844,1515
1845,423,938
1846,423,993
1847,423,1
1848,423,993
1849,423,815
1850,423,938
1851,1515
1852,1515
1853,1112,606
1854,1515
1855,1515
1856,1515
1857,423,815
